VesselID	PositionX	PositionY	VEGFValue	FinalState
1	15	25	0.8447	N/A	N/A
1	15	26	0.8125	N/A	N/A
1	14	27	0.6404	N/A	N/A
1	13	28	0.5039	N/A	N/A
1	13	29	0.7630	N/A	N/A
1	14	30	0.3297	N/A	N/A
1	15	30	0.6636	N/A	N/A
1	15	31	0.4401	N/A	N/A
1	15	32	0.4746	N/A	N/A
1	14	33	0.5985	N/A	N/A
1	14	34	0.5539	N/A	N/A
1	13	34	0.4773	N/A	N/A
1	12	33	0.4616	N/A	N/A
1	11	32	0.4260	N/A	N/A
1	10	33	0.4057	N/A	N/A
1	10	34	0.3297	N/A	N/A
1	10	35	0.4388	N/A	N/A
1	11	35	0.3800	N/A	N/A
1	10	36	0.1967	N/A	N/A
1	11	37	0.3190	N/A	N/A
2	35	25	0.6524	N/A	N/A
2	35	24	0.8745	N/A	N/A
2	34	24	0.7591	N/A	N/A
2	33	24	0.6197	N/A	N/A
2	32	25	0.5831	N/A	N/A
2	31	25	0.7033	N/A	N/A
2	30	25	0.7004	N/A	N/A
2	29	24	0.6310	N/A	N/A
2	29	23	0.6625	N/A	N/A
2	30	22	0.6242	N/A	N/A
2	31	22	0.5868	N/A	N/A
2	31	21	0.4967	N/A	N/A
2	32	21	0.4367	N/A	N/A
2	31	20	0.3940	N/A	N/A
2	30	19	0.3673	N/A	N/A
2	29	18	0.4610	N/A	N/A
2	29	17	0.4302	N/A	N/A
2	28	16	0.4102	N/A	N/A
2	28	15	0.3043	N/A	N/A
2	29	14	0.3754	N/A	N/A
3	25	15	0.7754	N/A	N/A
3	24	16	0.8465	N/A	N/A
3	23	16	0.8502	N/A	N/A
3	23	17	0.6833	N/A	N/A
3	24	18	0.5492	N/A	N/A
3	25	18	0.6128	N/A	N/A
3	24	19	0.4537	N/A	N/A
3	24	20	0.6761	N/A	N/A
3	25	21	0.6607	N/A	N/A
3	25	22	0.5229	N/A	N/A
3	26	23	0.5126	N/A	N/A
3	26	24	0.3351	N/A	N/A
3	25	25	0.3624	N/A	N/A
3	24	26	0.1042	N/A	N/A
3	24	27	0.4060	N/A	N/A
3	23	28	0.2160	N/A	N/A
3	22	29	0.4112	N/A	N/A
3	21	29	0.3954	N/A	N/A
3	20	29	0.3657	N/A	N/A
3	20	30	0.3147	N/A	N/A
4	25	35	0.1385	N/A	N/A
4	26	34	0.8970	N/A	N/A
4	26	33	0.6634	N/A	N/A
4	25	32	0.8491	N/A	N/A
4	25	33	0.7949	N/A	N/A
4	25	34	0.3188	N/A	N/A
4	26	35	0.3401	N/A	N/A
4	27	34	0.2915	N/A	N/A
4	28	33	0.4822	N/A	N/A
4	28	32	0.5858	N/A	N/A
4	29	32	0.4144	N/A	N/A
4	29	33	0.1956	N/A	N/A
4	30	34	0.5165	N/A	N/A
4	30	35	0.2549	N/A	N/A
4	29	35	0.2899	N/A	N/A
4	29	36	0.1967	N/A	N/A
4	28	37	0.4230	N/A	N/A
4	29	38	0.3480	N/A	N/A
4	29	37	0.3677	N/A	N/A
4	30	37	0.2976	N/A	N/A
5	20	20	0.7523	N/A	N/A
5	19	20	0.9292	N/A	N/A
5	19	21	0.8030	N/A	N/A
5	20	21	0.6662	N/A	N/A
5	20	22	0.3663	N/A	N/A
5	21	22	0.7384	N/A	N/A
5	21	23	0.6450	N/A	N/A
5	22	24	0.6253	N/A	N/A
5	22	25	0.6564	N/A	N/A
5	23	26	0.3714	N/A	N/A
5	24	25	0.5330	N/A	N/A
5	25	24	0.4824	N/A	N/A
5	25	23	0.3097	N/A	N/A
5	24	22	0.1925	N/A	N/A
5	24	21	0.3840	N/A	N/A
5	25	20	0.3130	N/A	N/A
5	26	21	0.2689	N/A	N/A
5	27	21	0.4101	N/A	N/A
5	27	20	0.2942	N/A	N/A
5	28	20	0.3653	N/A	N/A
6	30	30	0.6215	N/A	N/A
6	29	29	0.9462	N/A	N/A
6	29	30	0.8313	N/A	N/A
6	30	31	0.6683	N/A	N/A
6	31	30	0.7085	N/A	N/A
6	31	29	0.6282	N/A	N/A
6	31	28	0.5751	N/A	N/A
6	32	28	0.4531	N/A	N/A
6	32	29	0.2607	N/A	N/A
6	33	30	0.3998	N/A	N/A
6	33	31	0.3740	N/A	N/A
6	32	32	0.4328	N/A	N/A
6	31	33	0.5100	N/A	N/A
6	30	32	0.1567	N/A	N/A
6	30	33	0.1263	N/A	N/A
6	29	34	0.1914	N/A	N/A
6	28	34	0.1782	N/A	N/A
6	28	35	0.1356	N/A	N/A
6	27	36	0.0984	N/A	N/A
6	27	37	0.2369	N/A	N/A
