VesselID	X	Y	VEGF	Displacement	Anastomosis
1	15	25	0.4014	5.3852	0
1	14	25	0.9342	5.3852	0
1	14	25	0.9342	5.3852	0
1	14	24	0.6502	5.3852	0
1	14	24	0.6502	5.3852	0
1	13	23	0.8109	5.3852	0
1	13	23	0.8109	5.3852	0
1	12	23	0.8030	5.3852	0
1	12	23	0.8030	5.3852	0
1	11	24	0.4185	5.3852	0
1	11	24	0.4185	5.3852	0
1	10	25	0.6219	5.3852	0
1	10	25	0.6219	5.3852	0
1	10	26	0.6322	5.3852	0
1	10	26	0.6322	5.3852	0
1	9	26	0.4982	5.3852	0
1	9	26	0.4982	5.3852	0
1	8	25	0.6281	5.3852	0
1	8	25	0.6281	5.3852	0
1	7	24	0.5740	5.3852	0
1	7	24	0.5740	5.3852	0
1	6	25	0.5398	5.3852	0
1	6	25	0.5398	5.3852	0
1	6	26	0.3978	5.3852	0
1	6	26	0.3978	5.3852	0
1	6	27	0.3671	5.3852	0
1	6	27	0.3671	5.3852	0
1	6	28	0.4046	5.3852	0
1	6	28	0.4046	5.3852	0
1	5	28	0.3742	5.3852	0
1	5	28	0.3742	5.3852	0
1	5	29	0.3282	5.3852	0
1	5	29	0.3282	5.3852	0
1	4	30	0.2111	5.3852	0
1	4	30	0.2111	5.3852	0
1	3	30	0.2146	5.3852	0
1	3	30	0.2146	5.3852	0
1	2	30	0.3332	5.3852	0
1	2	30	0.3332	5.3852	0
1	1	29	0.3007	5.3852	0
1	1	29	0.3007	5.3852	0
1	0	28	0.3045	5.3852	0
1	0	28	0.3045	5.3852	0
1	0	27	0.1130	5.3852	0
1	0	27	0.1130	5.3852	0
1	1	27	0.2146	5.3852	0
1	1	27	0.2146	5.3852	0
1	1	26	0.1663	5.3852	0
1	1	26	0.1663	5.3852	0
1	1	25	0.2635	5.3852	0
1	1	25	0.2635	5.3852	0
1	2	24	0.1930	5.3852	0
1	2	24	0.1930	5.3852	0
1	3	24	0.2302	5.3852	0
1	3	24	0.2302	5.3852	0
1	2	25	0.1726	5.3852	0
1	2	25	0.1726	5.3852	0
1	3	26	0.1024	5.3852	0
1	3	26	0.1024	5.3852	0
1	4	26	0.2139	5.3852	0
1	4	26	0.2139	5.3852	0
1	4	25	0.1846	5.3852	0
1	4	25	0.1846	5.3852	0
1	4	24	0.1608	5.3852	0
1	4	24	0.1608	5.3852	0
1	5	23	0.0843	5.3852	0
1	5	23	0.0843	5.3852	0
1	6	24	0.1272	5.3852	0
1	6	24	0.1272	5.3852	0
1	7	23	0.0720	5.3852	0
1	7	23	0.0720	5.3852	0
1	8	24	0.1342	5.3852	0
1	8	24	0.1342	5.3852	0
1	9	23	0.1174	5.3852	0
