CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	15.13	0
0	14	25	1.6000	N/A	N/A
0	13	26	1.5000	N/A	N/A
0	12	26	1.4000	N/A	N/A
0	11	25	1.3000	N/A	N/A
0	10	26	1.2000	N/A	N/A
0	9	25	1.1000	N/A	N/A
0	8	25	1.0000	N/A	N/A
0	7	26	0.9000	N/A	N/A
0	6	25	0.8000	N/A	N/A
0	5	24	0.7000	N/A	N/A
0	4	25	0.6000	N/A	N/A
0	3	24	0.5000	N/A	N/A
0	2	23	0.4000	N/A	N/A
0	1	24	0.3000	N/A	N/A
0	0	23	0.2000	N/A	N/A
1	N/A	N/A	N/A	14.32	1
1	34	26	3.6000	N/A	N/A
1	33	27	3.5000	N/A	N/A
1	32	27	3.4000	N/A	N/A
1	31	27	3.3000	N/A	N/A
1	30	26	3.2000	N/A	N/A
1	29	27	3.1000	N/A	N/A
1	28	26	3.0000	N/A	N/A
1	27	27	2.9000	N/A	N/A
1	26	26	2.8000	N/A	N/A
1	25	27	2.7000	N/A	N/A
1	24	27	2.6000	N/A	N/A
1	23	27	2.5000	N/A	N/A
1	22	27	2.4000	N/A	N/A
1	21	28	2.3000	N/A	N/A
2	N/A	N/A	N/A	25.08	0
2	24	16	2.6000	N/A	N/A
2	23	16	2.5000	N/A	N/A
2	22	16	2.4000	N/A	N/A
2	21	16	2.3000	N/A	N/A
2	20	15	2.2000	N/A	N/A
2	19	16	2.1000	N/A	N/A
2	18	17	2.0000	N/A	N/A
2	17	16	1.9000	N/A	N/A
2	16	15	1.8000	N/A	N/A
2	15	14	1.7000	N/A	N/A
2	14	13	1.6000	N/A	N/A
2	13	12	1.5000	N/A	N/A
2	12	13	1.4000	N/A	N/A
2	11	13	1.3000	N/A	N/A
2	10	14	1.2000	N/A	N/A
2	9	14	1.1000	N/A	N/A
2	8	15	1.0000	N/A	N/A
2	7	14	0.9000	N/A	N/A
2	6	15	0.8000	N/A	N/A
2	5	15	0.7000	N/A	N/A
2	4	16	0.6000	N/A	N/A
2	3	17	0.5000	N/A	N/A
2	2	18	0.4000	N/A	N/A
2	1	18	0.3000	N/A	N/A
2	0	17	0.2000	N/A	N/A
3	N/A	N/A	N/A	25.71	0
3	24	36	2.6000	N/A	N/A
3	23	37	2.5000	N/A	N/A
3	22	37	2.4000	N/A	N/A
3	21	36	2.3000	N/A	N/A
3	20	35	2.2000	N/A	N/A
3	19	35	2.1000	N/A	N/A
3	18	36	2.0000	N/A	N/A
3	17	35	1.9000	N/A	N/A
3	16	36	1.8000	N/A	N/A
3	15	36	1.7000	N/A	N/A
3	14	37	1.6000	N/A	N/A
3	13	38	1.5000	N/A	N/A
3	12	37	1.4000	N/A	N/A
3	11	38	1.3000	N/A	N/A
3	10	39	1.2000	N/A	N/A
3	9	40	1.1000	N/A	N/A
3	8	40	1.0000	N/A	N/A
3	7	39	0.9000	N/A	N/A
3	6	39	0.8000	N/A	N/A
3	5	39	0.7000	N/A	N/A
3	4	39	0.6000	N/A	N/A
3	3	38	0.5000	N/A	N/A
3	2	39	0.4000	N/A	N/A
3	1	40	0.3000	N/A	N/A
3	0	41	0.2000	N/A	N/A
4	N/A	N/A	N/A	14.32	1
4	19	21	2.1000	N/A	N/A
4	18	20	2.0000	N/A	N/A
4	17	19	1.9000	N/A	N/A
4	16	19	1.8000	N/A	N/A
4	15	20	1.7000	N/A	N/A
4	14	20	1.6000	N/A	N/A
4	13	21	1.5000	N/A	N/A
4	12	21	1.4000	N/A	N/A
4	11	21	1.3000	N/A	N/A
4	10	22	1.2000	N/A	N/A
4	9	22	1.1000	N/A	N/A
4	8	22	1.0000	N/A	N/A
4	7	22	0.9000	N/A	N/A
4	6	23	0.8000	N/A	N/A
5	N/A	N/A	N/A	30.27	0
5	29	29	3.1000	N/A	N/A
5	28	29	3.0000	N/A	N/A
5	27	29	2.9000	N/A	N/A
5	26	29	2.8000	N/A	N/A
5	25	30	2.7000	N/A	N/A
5	24	31	2.6000	N/A	N/A
5	23	30	2.5000	N/A	N/A
5	22	31	2.4000	N/A	N/A
5	21	30	2.3000	N/A	N/A
5	20	29	2.2000	N/A	N/A
5	19	30	2.1000	N/A	N/A
5	18	31	2.0000	N/A	N/A
5	17	31	1.9000	N/A	N/A
5	16	30	1.8000	N/A	N/A
5	15	30	1.7000	N/A	N/A
5	14	30	1.6000	N/A	N/A
5	13	30	1.5000	N/A	N/A
5	12	29	1.4000	N/A	N/A
5	11	30	1.3000	N/A	N/A
5	10	31	1.2000	N/A	N/A
5	9	30	1.1000	N/A	N/A
5	8	31	1.0000	N/A	N/A
5	7	32	0.9000	N/A	N/A
5	6	32	0.8000	N/A	N/A
5	5	32	0.7000	N/A	N/A
5	4	32	0.6000	N/A	N/A
5	3	33	0.5000	N/A	N/A
5	2	33	0.4000	N/A	N/A
5	1	34	0.3000	N/A	N/A
5	0	34	0.2000	N/A	N/A
