CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	21.21	0
0	14	26	0.4707	N/A	N/A
0	13	27	0.4442	N/A	N/A
0	12	28	0.4180	N/A	N/A
0	11	29	0.3927	N/A	N/A
0	10	30	0.3684	N/A	N/A
0	9	31	0.3452	N/A	N/A
0	8	32	0.3232	N/A	N/A
0	7	33	0.3024	N/A	N/A
0	6	34	0.2828	N/A	N/A
0	5	35	0.2643	N/A	N/A
0	4	36	0.2470	N/A	N/A
0	3	37	0.2307	N/A	N/A
0	2	38	0.2154	N/A	N/A
0	1	39	0.2011	N/A	N/A
0	0	40	0.1877	N/A	N/A
1	N/A	N/A	N/A	19.80	0
1	36	26	0.4480	N/A	N/A
1	37	27	0.4229	N/A	N/A
1	38	28	0.3983	N/A	N/A
1	39	29	0.3745	N/A	N/A
1	40	30	0.3515	N/A	N/A
1	41	31	0.3296	N/A	N/A
1	42	32	0.3088	N/A	N/A
1	43	33	0.2891	N/A	N/A
1	44	34	0.2704	N/A	N/A
1	45	35	0.2529	N/A	N/A
1	46	36	0.2364	N/A	N/A
1	47	37	0.2209	N/A	N/A
1	48	38	0.2063	N/A	N/A
1	49	39	0.1927	N/A	N/A
2	N/A	N/A	N/A	21.21	0
2	26	14	0.4707	N/A	N/A
2	27	13	0.4442	N/A	N/A
2	28	12	0.4180	N/A	N/A
2	29	11	0.3927	N/A	N/A
2	30	10	0.3684	N/A	N/A
2	31	9	0.3452	N/A	N/A
2	32	8	0.3232	N/A	N/A
2	33	7	0.3024	N/A	N/A
2	34	6	0.2828	N/A	N/A
2	35	5	0.2643	N/A	N/A
2	36	4	0.2470	N/A	N/A
2	37	3	0.2307	N/A	N/A
2	38	2	0.2154	N/A	N/A
2	39	1	0.2011	N/A	N/A
2	40	0	0.1877	N/A	N/A
3	N/A	N/A	N/A	19.80	0
3	26	36	0.4480	N/A	N/A
3	27	37	0.4229	N/A	N/A
3	28	38	0.3983	N/A	N/A
3	29	39	0.3745	N/A	N/A
3	30	40	0.3515	N/A	N/A
3	31	41	0.3296	N/A	N/A
3	32	42	0.3088	N/A	N/A
3	33	43	0.2891	N/A	N/A
3	34	44	0.2704	N/A	N/A
3	35	45	0.2529	N/A	N/A
3	36	46	0.2364	N/A	N/A
3	37	47	0.2209	N/A	N/A
3	38	48	0.2063	N/A	N/A
3	39	49	0.1927	N/A	N/A
4	N/A	N/A	N/A	28.28	0
4	19	19	0.5422	N/A	N/A
4	18	18	0.5052	N/A	N/A
4	17	17	0.4707	N/A	N/A
4	16	16	0.4386	N/A	N/A
4	15	15	0.4087	N/A	N/A
4	14	14	0.3808	N/A	N/A
4	13	13	0.3548	N/A	N/A
4	12	12	0.3305	N/A	N/A
4	11	11	0.3080	N/A	N/A
4	10	10	0.2869	N/A	N/A
4	9	9	0.2674	N/A	N/A
4	8	8	0.2491	N/A	N/A
4	7	7	0.2321	N/A	N/A
4	6	6	0.2163	N/A	N/A
4	5	5	0.2015	N/A	N/A
4	4	4	0.1877	N/A	N/A
4	3	3	0.1749	N/A	N/A
4	2	2	0.1630	N/A	N/A
4	1	1	0.1519	N/A	N/A
4	0	0	0.1415	N/A	N/A
5	N/A	N/A	N/A	26.87	0
5	31	31	0.5052	N/A	N/A
5	32	32	0.4707	N/A	N/A
5	33	33	0.4386	N/A	N/A
5	34	34	0.4087	N/A	N/A
5	35	35	0.3808	N/A	N/A
5	36	36	0.3548	N/A	N/A
5	37	37	0.3305	N/A	N/A
5	38	38	0.3080	N/A	N/A
5	39	39	0.2869	N/A	N/A
5	40	40	0.2674	N/A	N/A
5	41	41	0.2491	N/A	N/A
5	42	42	0.2321	N/A	N/A
5	43	43	0.2163	N/A	N/A
5	44	44	0.2015	N/A	N/A
5	45	45	0.1877	N/A	N/A
5	46	46	0.1749	N/A	N/A
5	47	47	0.1630	N/A	N/A
5	48	48	0.1519	N/A	N/A
5	49	49	0.1415	N/A	N/A
