CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	18.60	0
0	16	26	0.5000	N/A	N/A
0	16	25	0.5000	N/A	N/A
0	15	24	0.5000	N/A	N/A
0	14	25	0.5000	N/A	N/A
0	13	24	0.5000	N/A	N/A
0	13	25	0.5000	N/A	N/A
0	13	26	0.5000	N/A	N/A
0	12	26	0.5000	N/A	N/A
0	12	25	0.5000	N/A	N/A
0	13	24	0.5000	N/A	N/A
0	13	25	0.5000	N/A	N/A
0	14	26	0.5000	N/A	N/A
0	15	27	0.5000	N/A	N/A
0	16	27	0.5000	N/A	N/A
0	15	28	0.5000	N/A	N/A
0	15	29	0.5000	N/A	N/A
0	16	29	0.5000	N/A	N/A
0	16	28	0.5000	N/A	N/A
0	17	27	0.5000	N/A	N/A
0	18	27	0.5000	N/A	N/A
0	17	28	0.5000	N/A	N/A
0	17	29	0.5000	N/A	N/A
0	16	30	0.5000	N/A	N/A
0	15	30	0.5000	N/A	N/A
0	14	30	0.5000	N/A	N/A
0	14	29	0.5000	N/A	N/A
0	13	28	0.5000	N/A	N/A
0	12	27	0.5000	N/A	N/A
0	11	27	0.5000	N/A	N/A
0	10	28	0.5000	N/A	N/A
0	9	28	0.5000	N/A	N/A
0	8	28	0.5000	N/A	N/A
0	8	29	0.5000	N/A	N/A
0	9	30	0.5000	N/A	N/A
0	10	30	0.5000	N/A	N/A
0	9	29	0.5000	N/A	N/A
0	8	28	0.5000	N/A	N/A
0	7	28	0.5000	N/A	N/A
0	6	28	0.5000	N/A	N/A
0	5	28	0.5000	N/A	N/A
0	5	27	0.5000	N/A	N/A
0	6	26	0.5000	N/A	N/A
0	6	27	0.5000	N/A	N/A
0	7	27	0.5000	N/A	N/A
0	7	26	0.5000	N/A	N/A
0	8	25	0.5000	N/A	N/A
0	9	24	0.5000	N/A	N/A
0	9	23	0.5000	N/A	N/A
0	8	22	0.5000	N/A	N/A
0	7	22	0.5000	N/A	N/A
0	6	22	0.5000	N/A	N/A
0	5	23	0.5000	N/A	N/A
0	4	22	0.5000	N/A	N/A
0	4	21	0.5000	N/A	N/A
0	4	20	0.5000	N/A	N/A
0	5	19	0.5000	N/A	N/A
0	6	20	0.5000	N/A	N/A
0	6	19	0.5000	N/A	N/A
0	7	19	0.5000	N/A	N/A
0	6	18	0.5000	N/A	N/A
0	5	19	0.5000	N/A	N/A
0	4	18	0.5000	N/A	N/A
0	3	17	0.5000	N/A	N/A
0	2	17	0.5000	N/A	N/A
0	2	16	0.5000	N/A	N/A
0	1	15	0.5000	N/A	N/A
