CellID	PositionX	PositionY	ECMValue	VEGFValue	Avg_Position	Displacement	AnastomosisCount
0	N/A	N/A	N/A	N/A	N/A	18.03	0
0	15	25	1.7000	0.7689	15,25	N/A	N/A
0	15	25	1.7000	0.7689	15,25	N/A	N/A
0	15	25	1.7000	0.7689	15,25	N/A	N/A
0	15	25	1.7000	0.7689	15,25	N/A	N/A
0	15	25	1.7000	0.7689	15,25	N/A	N/A
0	15	25	1.7000	0.7689	15,25	N/A	N/A
0	15	24	1.7000	0.8104	15,24	N/A	N/A
0	14	23	1.6000	0.9311	N/A	N/A	N/A
0	13	22	1.5000	0.6332	13,22	N/A	N/A
0	12	22	1.4000	0.6312	N/A	N/A	N/A
0	11	22	1.3000	0.6481	N/A	N/A	N/A
0	10	21	1.2000	0.8494	N/A	N/A	N/A
0	9	20	1.1000	0.8470	N/A	N/A	N/A
0	8	19	1.0000	0.9640	N/A	N/A	N/A
0	7	18	0.9000	0.8618	7,18	N/A	N/A
0	6	18	0.8000	0.8619	N/A	N/A	N/A
0	5	18	0.7000	0.9737	N/A	N/A	N/A
0	4	18	0.6000	0.1125	4,18	N/A	N/A
0	3	18	0.5000	0.0164	3,18	N/A	N/A
0	2	17	0.4000	0.9855	N/A	N/A	N/A
0	1	16	0.3000	0.9205	N/A	N/A	N/A
0	0	15	0.2000	0.9870	N/A	N/A	N/A
1	N/A	N/A	N/A	N/A	N/A	7.07	1
1	34	24	3.6000	0.0083	34,24	N/A	N/A
1	33	24	3.5000	0.7830	N/A	N/A	N/A
1	32	25	3.4000	0.6393	32,25	N/A	N/A
1	31	25	3.3000	0.8289	31,25	N/A	N/A
1	30	25	3.2000	0.6516	30,25	N/A	N/A
1	29	25	3.1000	0.9016	N/A	N/A	N/A
1	28	26	3.0000	0.9634	N/A	N/A	N/A
2	N/A	N/A	N/A	N/A	N/A	5.00	1
2	24	16	2.6000	0.9344	N/A	N/A	N/A
2	23	17	2.5000	0.0833	23,17	N/A	N/A
2	22	17	2.4000	0.9419	N/A	N/A	N/A
2	21	18	2.3000	0.9236	N/A	N/A	N/A
3	N/A	N/A	N/A	N/A	N/A	25.02	0
3	24	35	2.6000	0.8224	N/A	N/A	N/A
3	23	35	2.5000	0.3824	23,35	N/A	N/A
3	22	36	2.4000	0.9754	N/A	N/A	N/A
3	21	35	2.3000	0.6097	N/A	N/A	N/A
3	20	36	2.2000	0.9981	N/A	N/A	N/A
3	19	37	2.1000	0.8203	19,37	N/A	N/A
3	18	37	2.0000	0.7643	N/A	N/A	N/A
3	17	38	1.9000	0.9311	N/A	N/A	N/A
3	16	39	1.8000	0.1050	16,39	N/A	N/A
3	16	39	1.8000	0.1050	16,39	N/A	N/A
3	16	38	1.8000	0.4674	16,38	N/A	N/A
3	16	38	1.8000	0.4674	16,38	N/A	N/A
3	16	38	1.8000	0.4674	16,38	N/A	N/A
3	16	38	1.8000	0.4674	16,38	N/A	N/A
3	16	38	1.8000	0.4674	16,38	N/A	N/A
3	16	37	1.8000	0.1119	16,37	N/A	N/A
3	15	36	1.7000	0.7744	N/A	N/A	N/A
3	14	35	1.6000	0.7298	N/A	N/A	N/A
3	13	36	1.5000	0.9019	N/A	N/A	N/A
3	12	36	1.4000	0.5059	12,36	N/A	N/A
3	11	37	1.3000	0.9139	N/A	N/A	N/A
3	11	38	1.3000	0.2155	11,38	N/A	N/A
3	11	38	1.3000	0.2155	N/A	N/A	N/A
3	10	37	1.2000	0.4383	10,37	N/A	N/A
3	9	37	1.1000	0.9604	N/A	N/A	N/A
3	8	36	1.0000	0.4689	8,36	N/A	N/A
3	7	36	0.9000	0.5974	N/A	N/A	N/A
3	6	35	0.8000	0.8230	N/A	N/A	N/A
3	5	34	0.7000	0.6504	5,34	N/A	N/A
3	4	33	0.6000	0.7809	N/A	N/A	N/A
3	3	34	0.5000	0.7187	N/A	N/A	N/A
3	2	34	0.4000	0.8275	N/A	N/A	N/A
3	1	34	0.3000	0.1819	1,34	N/A	N/A
3	0	34	0.2000	0.7976	N/A	N/A	N/A
4	N/A	N/A	N/A	N/A	N/A	0.00	1
4	20	20	2.2000	0.5552	20,20	N/A	N/A
4	20	20	2.2000	0.5552	20,20	N/A	N/A
4	20	20	2.2000	0.5552	20,20	N/A	N/A
4	20	20	2.2000	0.5552	20,20	N/A	N/A
5	N/A	N/A	N/A	N/A	N/A	30.15	0
5	30	29	3.2000	0.8214	30,29	N/A	N/A
5	29	28	3.1000	0.9078	N/A	N/A	N/A
5	28	27	3.0000	0.5756	N/A	N/A	N/A
5	27	26	2.9000	0.9621	27,26	N/A	N/A
5	26	25	2.8000	0.6376	N/A	N/A	N/A
5	25	26	2.7000	0.7285	N/A	N/A	N/A
5	24	27	2.6000	0.7892	N/A	N/A	N/A
5	23	28	2.5000	0.8037	N/A	N/A	N/A
5	22	29	2.4000	0.9967	N/A	N/A	N/A
5	22	29	2.4000	0.9967	22,29	N/A	N/A
5	22	28	2.4000	0.1105	22,28	N/A	N/A
5	22	27	2.4000	0.2987	22,27	N/A	N/A
5	21	27	2.3000	0.7761	N/A	N/A	N/A
5	20	27	2.2000	0.9851	N/A	N/A	N/A
5	19	27	2.1000	0.8376	N/A	N/A	N/A
5	18	28	2.0000	0.9844	N/A	N/A	N/A
5	17	28	1.9000	0.5287	17,28	N/A	N/A
5	16	27	1.8000	0.7619	N/A	N/A	N/A
5	15	28	1.7000	0.8696	N/A	N/A	N/A
5	15	29	1.7000	0.2042	15,29	N/A	N/A
5	14	30	1.6000	0.4969	N/A	N/A	N/A
5	13	31	1.5000	0.5173	13,31	N/A	N/A
5	12	32	1.4000	0.4049	N/A	N/A	N/A
5	11	32	1.3000	0.6535	11,32	N/A	N/A
5	10	31	1.2000	0.3983	10,31	N/A	N/A
5	9	30	1.1000	0.4155	9,30	N/A	N/A
5	8	30	1.0000	0.4423	N/A	N/A	N/A
5	7	30	0.9000	0.5029	N/A	N/A	N/A
5	6	29	0.8000	0.9524	N/A	N/A	N/A
5	5	28	0.7000	0.7296	5,28	N/A	N/A
5	4	28	0.6000	0.6736	4,28	N/A	N/A
5	3	28	0.5000	0.8202	N/A	N/A	N/A
5	2	27	0.4000	0.1731	2,27	N/A	N/A
5	1	26	0.3000	0.0918	1,26	N/A	N/A
5	0	27	0.2000	0.8986	N/A	N/A	N/A
